GX304-1_55058,3-5keV,5-12keV,12-20keV
# GX 304-1,Ver 4,2013-2-22,unit:crab,created by Takagi,,
#MJD,3-5keV,error,5-12keV,error,12-20keV,error
#date,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2
55262.275680,0.00252809,0.00861423,-0.00438799,0.0225173,-0.00986547,0.0852018
55263.506555,0.00552434,0.00393258,0.00127021,0.00750577,0.000896861,0.0300448
55264.490930,-0.000655431,0.00262172,0.00554273,0.00542725,0.00403587,0.0192825
55265.507055,-0.000561798,0.00243446,0.00300231,0.00508083,0.00358744,0.0192825
55266.523180,0.00224719,0.00243446,0.0039261,0.00531178,-0.0143498,0.0192825
55267.507585,-0.00140449,0.00252809,0.00669746,0.00542725,-0.0152466,0.0201794
55268.491975,0.000187266,0.00224719,-0.00161663,0.00461894,-0.0264574,0.0170404
55269.508100,0.00355805,0.00234082,-0.00450346,0.00473441,-0.0112108,0.0165919
55270.492565,0.00224719,0.00234082,-0.00715935,0.00496536,0.0116592,0.0183857
55271.476960,0.00402622,0.00224719,0.00254042,0.00473441,0.00044843,0.0174888
55272.493070,0.00252809,0.00234082,-0.00588915,0.00438799,-0.0224215,0.0161435
55273.509050,0.00168539,0.00234082,0.00785219,0.00484988,-0.0390135,0.0161435
55274.493270,0.000374532,0.00215356,0.00600462,0.00461894,0.00224215,0.0165919
55275.477590,0.00599251,0.00224719,0.00842956,0.00450346,0.00493274,0.0161435
55276.493645,0.00262172,0.00224719,0.0101617,0.00473441,0.00538117,0.0161435
55277.509685,0.0170412,0.00271536,0.0301386,0.00508083,0.0139013,0.0161435
55278.493970,0.0164794,0.00280899,0.0336028,0.00531178,0.0170404,0.0170404
55279.478340,0.0101124,0.00243446,0.0266744,0.00496536,0.0210762,0.0161435
55280.494645,0.0258427,0.00290262,0.045843,0.00531178,0.0278027,0.0161435
55281.510995,0.0237828,0.00290262,0.0460739,0.00531178,0.0363229,0.0165919
55282.495560,0.0250936,0.00299625,0.0598152,0.00577367,0.0748879,0.0179372
55283.480105,0.0325843,0.00327715,0.0654734,0.00600462,0.0852018,0.0183857
55284.496350,0.0410112,0.00346442,0.08903,0.00635104,0.0793722,0.0188341
55285.512580,0.0339888,0.00318352,0.0844111,0.00635104,0.0636771,0.0188341
55286.497025,0.0501873,0.00402622,0.101386,0.00727483,0.0565022,0.0210762
55287.481435,0.0559925,0.00383895,0.131062,0.00704388,0.11704,0.0201794
55288.497560,0.0555243,0.00374532,0.121478,0.00681293,0.0910314,0.0192825
55289.513640,0.043633,0.00355805,0.109815,0.00658199,0.0600897,0.0188341
55290.498070,0.0469101,0.00411985,0.121478,0.00808314,0.123767,0.0237668
55291.482470,0.0550562,0.00430712,0.154042,0.00808314,0.134978,0.0237668
55292.498410,0.0543071,0.00440075,0.120554,0.00819861,0.135426,0.0242152
55293.496215,0.0318352,0.00393258,0.0612009,0.00715935,0.0587444,0.0224215
55294.494065,0.0363296,0.00383895,0.0911085,0.00785219,0.0717489,0.0269058
55295.509990,0.0311798,0.00355805,0.0576212,0.00727483,0.0179372,0.0286996
55296.494070,0.0249064,0.00346442,0.0461894,0.00750577,0.0192825,0.0304933
55297.478080,0.0154494,0.00318352,0.0427252,0.0073903,0.0345291,0.0309417
55298.493740,0.0201311,0.00402622,0.0359122,0.0091224,0.0264574,0.0390135
55299.509400,0.00533708,0.00383895,0.0278291,0.0091224,0.0183857,0.041704
55300.493270,0.00692884,0.00440075,0.0150115,0.0110855,-0.026009,0.055157
55301.889615,0.00683521,0.0132959,-0.039261,0.0275982,-0.090583,0.156951
55302.492495,0.0114232,0.00365169,0.012933,0.00900693,-0.00807175,0.0426009
55303.494110,0.00627341,0.00374532,0.0167436,0.00808314,0.0336323,0.0358744
55304.812900,0.00655431,0.00543071,0.0169746,0.0105081,0.0134529,0.0412556
55305.828120,0.00758427,0.00617978,0.00623557,0.0116628,-0.0103139,0.0399103
55306.779840,0.0144195,0.00571161,0.00866051,0.0105081,0.0300448,0.038565
55307.763210,0.00543071,0.00505618,0.00438799,0.0112009,0.0233184,0.0434978
55308.746450,0.00833333,0.00477528,-0.00554273,0.00935335,-0.0318386,0.0336323
55309.729870,0.0161985,0.00692884,0.00623557,0.012933,0.0569507,0.0452915
55310.714070,0.00215356,0.00505618,0.0284065,0.01097,0.00269058,0.038565
55311.730025,0.00215356,0.00524345,0.00946882,0.0105081,-0.0730942,0.038565
55312.682360,0.00383895,0.00655431,0.021709,0.0136259,0.00403587,0.0578475
55313.729700,-0.000187266,0.00524345,-0.0140878,0.01097,-0.00179372,0.0443946
55314.713360,0.00945693,0.00411985,-0.000230947,0.00854503,-0.0224215,0.0304933
55315.728615,0.0110487,0.00355805,0.0161663,0.00715935,0.0143498,0.0273543
